feature,cluster_a,cluster_b,raw_mean_cluster_a,raw_mean_cluster_b,raw_mean_difference_a_minus_b,z_centroid_cluster_a,z_centroid_cluster_b,z_centroid_difference_a_minus_b,effect_size_raw_cohens_d_a_minus_b,abs_z_difference
weekday_commute_peak_share,0,2,0.32778969918560785,0.4146058902471972,-0.08681619106158933,-0.8255465488767867,0.6386414774940619,-1.4641880263708487,-2.488643426339583,1.4641880263708487
weekday_midday_share,0,2,0.30672075788396447,0.2453898113370157,0.06133094654694876,0.5307851448440528,-0.5856424363355617,1.1164275811796145,2.2990244159264646,1.1164275811796145
log_summer_winter_ratio,0,2,0.6245651058167504,0.4982581808733485,0.1263069249434019,0.007595530027193463,-0.3676360578680727,0.37523158789526617,0.7011396526022561,0.37523158789526617
weekend_midday_afternoon_share,0,2,0.4963944684311784,0.48001435418464483,0.016380114246533573,0.02436731880760406,-0.27498039920442335,0.2993477180120274,0.3722855801306208,0.2993477180120274
log_weekend_weekday_ratio,0,2,-0.4816957915847402,-0.48046057757923966,-0.001235214005500529,-0.18624828572998325,-0.18224729038012585,-0.0040009953498574,-0.004455572591530083,0.0040009953498574
