location_group_id,cluster_id,cluster_name,gemeente_values,site_ids,silhouette_value,distance_to_assigned_centroid,pca_1,pca_2,pca_1_explained_variance_ratio,pca_2_explained_variance_ratio
LG0001,0,cluster_0,Machelen,1,0.6952751952025013,1.0806932354584455,-1.0447296307508713,0.07767569402175457,0.6535150186271345,0.21765012075981113
LG0002,0,cluster_0,Brasschaat,2|3,0.7032049990167039,1.304232172547781,-1.5951539894010047,0.04601304873181108,0.6535150186271345,0.21765012075981113
LG0003,0,cluster_0,Balen,4|5,0.5089178812249665,1.4552728968596056,0.8916980293416921,0.09912188689333443,0.6535150186271345,0.21765012075981113
LG0004,0,cluster_0,Evergem,6|7,0.6665674730510367,1.965989725947481,-2.279144160818481,-0.43586423256706885,0.6535150186271345,0.21765012075981113
LG0005,0,cluster_0,Heist-op-den-Berg,8,0.6677637668389989,1.9798956547039488,-2.241773773582415,0.43104226040571353,0.6535150186271345,0.21765012075981113
LG0006,0,cluster_0,Heist-op-den-Berg,9,0.6650151923030033,1.3429655133289615,-0.8103144741722029,-1.2950271869749248,0.6535150186271345,0.21765012075981113
LG0007,0,cluster_0,Aalst,10,0.6838200501702254,0.6607517730376904,-0.14760732533522333,0.5637233300797139,0.6535150186271345,0.21765012075981113
LG0008,0,cluster_0,Aalst,11,0.6384465107079439,1.00017246345304,0.10367309382882824,0.7270690102115485,0.6535150186271345,0.21765012075981113
LG0009,0,cluster_0,Kraainem,12,0.2317234256821612,3.2866107169490086,1.3636015360701461,2.5647715782709115,0.6535150186271345,0.21765012075981113
LG0010,0,cluster_0,Gent,13,0.6715348832115504,1.8068639899873025,-1.9133886052556173,0.7842901392441708,0.6535150186271345,0.21765012075981113
LG0011,0,cluster_0,Genk,14,0.1982178662705088,2.5253574160733683,1.8153259566255824,-0.7425127437831384,0.6535150186271345,0.21765012075981113
LG0012,0,cluster_0,Oostende,15|18,0.6914774190989099,0.7374492218005925,-0.3653424057449551,-0.4605615640649672,0.6535150186271345,0.21765012075981113
LG0013,0,cluster_0,Kortrijk,16|17,0.6557405649889463,1.5955282765337395,-1.046402994246093,-1.0801801802318254,0.6535150186271345,0.21765012075981113
LG0014,0,cluster_0,Aalst,19,0.671836643932025,0.8176127815308526,-0.11608969009879344,0.6903286722027115,0.6535150186271345,0.21765012075981113
LG0015,0,cluster_0,Brugge,20,0.6584219217900035,1.911181471062517,-1.8560977430684633,0.5194097967198382,0.6535150186271345,0.21765012075981113
LG0016,0,cluster_0,Bilzen,21,0.5470988121609982,1.3733389092686965,0.6985671141863178,-0.7439746745587591,0.6535150186271345,0.21765012075981113
