location_group_id,gemeente_values,site_ids,log_weekend_weekday_ratio,weekday_commute_peak_share,weekday_midday_share,weekend_midday_afternoon_share,log_summer_winter_ratio,silhouette_value,distance_to_assigned_centroid
LG0043,Nieuwpoort,64,0.200232244945215,0.2718792863091923,0.4246329989668425,0.5728639819347735,1.9216494408661529,0.6816685357188534,1.2621469009311763
LG0033,As,48,0.4399288465012032,0.2588325936986544,0.4543447363974077,0.6637650262262468,1.7896766855676405,0.6839336963806141,1.6710517238201317
LG0042,Nieuwpoort,63|66,0.1888110484187302,0.2559389881954323,0.4319843146824884,0.568255078073349,1.7460493302514222,0.6917051666006813,1.0614651159859525
LG0022,Heers,28|34,0.4508988794265031,0.2383868014311911,0.4423083805419062,0.6193379110955763,1.5092235037934902,0.6974492732886439,1.1937579841817874
LG0089,Houthalen-Helchteren,139,0.2129134050831102,0.2968619516775354,0.4052024723626358,0.6325996169778666,1.5036358128520306,0.6916912340698501,0.6034934405233907
LG0044,Nieuwpoort,65,0.0701689607819811,0.32117510194029,0.3438271559667417,0.5296885486766608,1.3497660983805415,0.2806919617478779,2.1297969580731766
LG0030,Maaseik,43|44,0.1159580213430225,0.31985609624431,0.3614937789354848,0.6541078907526195,1.1449793280923497,0.4573185597807909,1.9239826317653863
